DT,DT_round,DT_floor,Measurement,Value
2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,Depth,1.36
2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,pH,7.72
2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,Turbidity,10.66
2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,Specific_Conductivity,61.89
2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,FDOM,1.85
2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,DO,9.08
2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,DO_Sat,NA
2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,Chl-a,0.04
2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,2024-05-03T21:30:00Z,Temperature,7.75
2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,Depth,1.37
2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,pH,7.7
2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,Turbidity,9.54
2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,Specific_Conductivity,61.89
2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,FDOM,1.84
2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,DO,9.1
2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,DO_Sat,NA
2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,Chl-a,0.04
2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,2024-05-03T21:15:00Z,Temperature,7.68
2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,Depth,1.38
2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,pH,7.7
2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,Turbidity,8.29
2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,Specific_Conductivity,61.9
2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,FDOM,1.85
2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,DO,9.12
2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,DO_Sat,NA
2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,Chl-a,0.04
2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,2024-05-03T21:00:00Z,Temperature,NA
2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,Depth,1.38
2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,pH,7.73
2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,Turbidity,10.39
2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,Specific_Conductivity,62.11
2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,FDOM,1.85
2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,DO,9.16
2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,DO_Sat,NA
2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,Chl-a,0.04
2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,2024-05-03T20:45:00Z,Temperature,7.5
2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,Depth,1.36
2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,pH,7.72
2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,Turbidity,9.98
2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,Specific_Conductivity,62.61
2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,FDOM,1.85
2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,DO,9.2
2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,DO_Sat,NA
2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,Chl-a,0.03
2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,2024-05-03T20:30:00Z,Temperature,7.34
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,Depth,1.36
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,pH,7.72
2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,2024-05-03T20:15:00Z,Turbidity,10.54
